feature,importance_gain,importance_split,mean_abs_shap_all,mean_abs_shap_positive,mean_shap_positive,mean_feature_value,gain_pct,split_pct
ui_repeat_rate,70822.97974538803,240,0.37029027143112897,0.6154342701101576,0.5383205789571727,0.037820242,0.4549817786249051,0.08
ui_days_since_last_purchase,4106.079327583313,215,0.15234191802326913,0.16548435588868338,0.10833144029198657,202.01479,0.026378320742152423,0.07166666666666667
item_global_count,10123.907504081726,327,0.12922662099680604,0.1525763270090818,0.0724300208635186,1574.966,0.06503811982213416,0.109
ui_count_share_last_60d,5596.119285106659,75,0.12003326095012715,0.16701812261940657,0.11165940849693082,0.118392944,0.03595065210315107,0.025
user_baskets_count,2507.377235174179,171,0.11051123724851422,0.09740343050676734,0.0429813556626861,127.3713,0.016107920878850542,0.057
item_global_rank_pct,4891.623612880707,205,0.10458493838792082,0.11047664597226654,0.053860784581875994,0.76354903,0.031424823125956916,0.06833333333333333
ui_gap_std_days,15377.191370248795,64,0.0855809302262315,0.13143476608717458,0.08718620611145379,13.702056,0.09878632479236991,0.021333333333333333
ui_count_last_5,5295.077226161957,90,0.06540331445644955,0.11699408769251878,0.079801406948436,0.25635,0.034016694340967484,0.03
ui_count_last_60d,5971.453679800034,93,0.060541438664520254,0.10847232349047466,0.0808723661913449,0.415,0.0383618795196001,0.031
ui_recency_over_gap,2036.5088167190552,123,0.05821563056397096,0.07980883553428936,0.052834069086781336,116.59569,0.013082962718417319,0.041
ui_days_since_last_purchase_over_last_gap,2357.2636222839355,139,0.05677786879928401,0.06981141040535106,0.03938010528006748,196.12665,0.01514355932792242,0.04633333333333333
user_days_since_last_basket,2880.1009786129,260,0.041079764629185216,0.045834278007053246,0.029370216336532685,14.451762,0.018502376920309673,0.08666666666666667
ui_gap_cv_days,5380.777143955231,99,0.03648612411753136,0.055229395640881786,0.03125961386913061,0.19397642,0.03456724871139598,0.033
ui_count_total,6315.721516132355,78,0.03301626695420439,0.06784620191645416,0.04653904253953707,3.299,0.040573528804351174,0.026
user_avg_basket_size,2988.673556804657,209,0.024122679349420993,0.03158582235840856,0.0002809726203769281,10.049044,0.019199870091497432,0.06966666666666667
ui_abs_recency_minus_mean_gap,2350.597418785095,112,0.023805309521650685,0.03625712769807263,0.02684479196996359,49.390667,0.015100734228844665,0.037333333333333336
ui_count_last_30d,1141.3058338165283,45,0.015540940804049594,0.02596631765184349,0.018247891478761425,0.2051,0.007331989702941569,0.015
ui_count_last_3,871.073579788208,46,0.015070129293967872,0.02944298391775811,0.021960117141734358,0.156,0.005595960634104928,0.015333333333333332
ui_last_gap_days,1168.7963423728943,111,0.012750348423149094,0.019797144165476583,0.015244126906683525,39.203922,0.00750859453548666,0.037
ui_mean_gap_days,1097.246774673462,65,0.011961824468418305,0.019029870734361146,0.014646713170319093,39.195404,0.007048945002400604,0.021666666666666667
ui_days_since_last_purchase_minus_mean_gap,810.8538084030151,61,0.010654047096262935,0.016426915054747106,0.007399354755704216,14.293984,0.00520909610522291,0.02033333333333333
ui_cooc_last_basket_sum,619.2760071754456,68,0.008092000493872953,0.014786050035717221,-0.0019516991495177449,4.3187,0.003978359851807305,0.02266666666666667
ui_cooc_last_basket_mean,484.8138403892517,51,0.006061099834390179,0.009963789359453162,0.004377017849897097,0.30288744,0.003114546495999934,0.017
ui_in_last_basket,228.06121158599854,25,0.005191920048767761,0.00812793658212277,0.003178961777679434,0.05245,0.0014651133863017884,0.008333333333333333
ui_cooc_last_basket_max,232.11895942687988,27,0.002485909292903785,0.00574052671584458,-0.001935729151972931,1.0355,0.0014911812153664895,0.009
ui_is_overdue_last_gap,6.135900020599365,1,1.8614745303941394e-05,4.9896111515506666e-05,2.0718361766949226e-05,0.21905,3.9418317541471234e-05,0.0003333333333333333
