feature,importance_gain,importance_split,mean_abs_shap_all,mean_abs_shap_positive,mean_shap_positive,mean_feature_value,gain_pct,split_pct
ui_count_last_5,3405646.7735977173,353,0.3370029376458214,0.48647722788974507,0.422183974769213,0.9489,0.5711350360598795,0.028015873015873015
ui_repeat_rate,594210.1749181747,1255,0.22628398378777342,0.2960933904999407,0.27007032474095866,0.15358096,0.09965045474182423,0.0996031746031746
ui_count_last_60d,968097.9213628769,405,0.11164954794610485,0.15580603149615943,0.1340904233883826,1.2849,0.16235231601631525,0.03214285714285714
user_avg_basket_size,126766.88698101044,1942,0.05802722262848896,0.0679456810017702,-0.004560588785372782,11.935197,0.021259107411956822,0.15412698412698414
ui_count_last_3,440476.86937236786,227,0.05223374935364641,0.07535458230659037,0.05548593121487155,0.601,0.07386901502024248,0.018015873015873016
ui_days_since_last_purchase,66478.29824352264,782,0.0389074669553493,0.051920068672389595,0.04776828222927193,49.40824,0.011148568183541928,0.062063492063492064
ui_mean_gap_days,52055.78920841217,334,0.03143339733211647,0.037227674658239375,0.02865126391159049,17.053205,0.00872987923385382,0.026507936507936508
ui_count_total,45871.01173400879,512,0.01861642595425675,0.02805619191103508,0.01170219951123248,4.54645,0.0076926773921213755,0.040634920634920635
item_global_count_last_30d,28962.920327186584,628,0.018358606816878956,0.01722851672773902,0.004963606905241167,630.16003,0.004857150387323484,0.04984126984126984
ui_in_last_basket,28475.3030462265,283,0.014647305300027747,0.01991481824701591,0.006078120288823362,0.20815,0.004775375813546898,0.02246031746031746
ui_recency_over_gap,26434.431575775146,700,0.013972611918285107,0.019681797635846664,0.012765006295175988,7830.832,0.004433116830640558,0.05555555555555555
ui_cooc_last_basket_sum,25713.674538612366,823,0.012581389891530645,0.015389236598584165,-0.0038364589242589125,19.45255,0.004312244167156579,0.06531746031746032
user_baskets_count,23991.941190719604,504,0.012458327140905345,0.010189157826863788,0.0022988980687217568,34.9772,0.004023505403830449,0.04
ui_gap_std_days,13752.567200660706,222,0.008265794755906684,0.011084992298553219,0.0040086273137345,7.4332423,0.002306338116142243,0.017619047619047618
ui_last_gap_days,13081.99543762207,187,0.008198111908285781,0.009384377674534405,0.00566026319573463,17.098375,0.0021938816420789564,0.014841269841269841
item_global_count,19455.092113494873,620,0.007826593833604279,0.00827975936271565,0.0025963048019947126,8967.768,0.0032626650602555077,0.049206349206349205
ui_abs_recency_minus_mean_gap,13223.079892158508,399,0.006302769042427178,0.009164922545718525,0.0059321556326306715,19.405312,0.0022175418395057244,0.03166666666666667
ui_count_last_30d,8689.804349899292,92,0.006015189236635763,0.009051979451455992,0.007498861925198313,0.643,0.001457300786214559,0.007301587301587302
item_global_count_last_90d,7307.041172981262,288,0.004627045490452195,0.004665157377255063,0.0019764219652573306,2030.1667,0.001225408123994317,0.022857142857142857
user_days_since_last_basket,16419.285258293152,582,0.004614576537504544,0.005777122608937744,0.0012757256745852415,11.851703,0.0027535530551121134,0.04619047619047619
item_global_rank_pct,8632.382751464844,294,0.0038027494393691676,0.00421869719938051,0.001322998189477576,0.92395216,0.0014476710480553579,0.023333333333333334
ui_days_since_last_purchase_minus_mean_gap,7381.448820114136,267,0.003431092141304903,0.004862645295464075,0.0036973427848075225,6.0200086,0.0012378864627808938,0.02119047619047619
item_global_count_before_target,6884.6491985321045,296,0.0029036008945346734,0.0035130812529337446,0.002106051890868665,6733.9697,0.0011545719887178525,0.02349206349206349
item_global_recent_share_90d,4067.0539712905884,178,0.0021223008429285084,0.0013291862295376816,-1.620070397138784e-05,0.3613042,0.0006820545907926578,0.014126984126984127
item_global_days_since_last_purchase,6345.880349159241,205,0.0017665606851475695,0.0022261877727479946,0.0005942383666976955,2.2413695,0.0010642191756780413,0.01626984126984127
ui_cooc_last_basket_max,2848.968744277954,129,0.0012481982214968546,0.0011031444096636991,0.00046931113167445913,3.24485,0.0004777788110943008,0.010238095238095239
item_global_recency_over_mean_gap,1673.6951122283936,93,0.0006727962627451264,0.0005108704290398131,7.563249184306298e-05,3.9186485,0.00028068263734409274,0.007380952380952381
item_global_is_stale_90d,0.0,0,0.0,0.0,0.0,0.00185,0.0,0.0
