feature,importance_gain,importance_split,mean_abs_shap_all,mean_abs_shap_positive,mean_shap_positive,mean_feature_value,gain_pct,split_pct
ui_repeat_rate,276845.9021720886,373,0.2532161633862358,0.31730177511205565,0.22553833850756902,0.123672776,0.2103218366933669,0.029603174603174603
item_global_days_since_last_purchase,72709.58749103546,355,0.12000871219166902,0.10946064295425799,0.012716664592025214,2.9793,0.05523800015225005,0.028174603174603175
item_global_count,313610.9402074814,1825,0.10082777698732401,0.1232393308587447,0.07085020754900966,745.4439,0.23825250232734385,0.14484126984126985
item_global_count_before_target,132070.4684753418,1894,0.07051145450508683,0.0764583377173311,0.03058578420076848,662.5419,0.10033489130505825,0.15031746031746032
ui_count_total,83192.79445266724,162,0.05177978372017316,0.07684151658291848,0.06382868685467458,0.5872,0.0632021683964184,0.012857142857142857
item_global_recency_over_mean_gap,99253.76930141449,1835,0.04905796803644922,0.05442607826668551,0.040821269738683115,11.216522,0.07540380729651211,0.14563492063492064
item_global_count_last_30d,79994.48788356781,1712,0.04378184516830252,0.0514261713078308,0.028147861404064806,159.92535,0.06077239173494802,0.13587301587301587
item_global_recent_share_90d,68257.45718097687,991,0.04078539499499202,0.03997963825030214,0.010506139214750052,0.82073987,0.05185568451505606,0.07865079365079365
item_global_rank_pct,56264.2904214859,454,0.021921781089796026,0.026214398272177364,0.014934709320837871,0.94283074,0.042744388877896784,0.03603174603174603
user_baskets_count,16047.37788105011,373,0.016668365152480547,0.019166589636127305,0.00420187591423809,6.35085,0.012191309185270094,0.029603174603174603
item_global_count_last_90d,33469.639097213745,789,0.015600698712862982,0.015308467850964081,0.001989723821254697,489.88116,0.02542712719661062,0.06261904761904762
ui_count_last_3,4994.178617477417,41,0.013755495699379108,0.01889567816695586,0.014515679933040085,0.3351,0.0037941136616487336,0.003253968253968254
ui_in_last_basket,6704.688325881958,95,0.011557363522968116,0.014876576121950891,6.376136509575433e-05,0.13065,0.005093600273987506,0.00753968253968254
user_avg_basket_size,25280.24100971222,696,0.009920536547865587,0.01208708686711525,0.0014124682688401598,8.686901,0.01920558216501463,0.05523809523809524
ui_count_last_60d,2745.9326028823853,62,0.009913841608945583,0.013878408898546246,0.012912782459191783,0.3401,0.0020861048834142615,0.004920634920634921
ui_recency_over_gap,8047.876708030701,87,0.005918819044534248,0.009643992132585192,0.006386985963065782,0.25402367,0.006114030214767742,0.006904761904761905
ui_mean_gap_days,9906.409050941467,19,0.005198851354110899,0.008506702205898154,0.005203110442939291,3.0157166,0.007525970694464783,0.001507936507936508
ui_days_since_last_purchase,5017.462890625,190,0.0048413942497226034,0.004764475088609158,0.0016779269420245104,19.4998,0.0038118028925748447,0.01507936507936508
ui_abs_recency_minus_mean_gap,4537.806914329529,110,0.004768995274219924,0.008005899693711837,0.007797038700017907,2.5483782,0.0034474047738961553,0.00873015873015873
ui_cooc_last_basket_sum,4908.509101867676,141,0.00327532468783304,0.0042269793991728186,0.002159244394417187,1.85845,0.003729029910253809,0.01119047619047619
ui_count_last_30d,1703.1109972000122,50,0.0029619464885885932,0.003776096992819282,0.0024046188459878348,0.18275,0.0012938657578580254,0.003968253968253968
user_days_since_last_basket,5689.633984565735,255,0.001533204777605396,0.0018231045676413956,0.0003107904455296032,20.11125,0.004322456140250252,0.02023809523809524
ui_count_last_5,3309.3319845199585,42,0.0012574308070121413,0.002103975041862102,0.0006065949131223763,0.42865,0.0025141234735693886,0.0033333333333333335
ui_last_gap_days,458.9129047393799,15,0.0004948128776529828,0.0007853582850196885,0.0006565906073337381,3.0469,0.00034863945700405426,0.0011904761904761906
ui_gap_std_days,910.1020965576172,17,0.0004542010389289931,0.0008014135619823602,0.00013079021696469427,0.3834945,0.0006914111533697111,0.0013492063492063493
ui_days_since_last_purchase_minus_mean_gap,327.8357973098755,16,0.00020084139176795973,0.00032967435760541914,4.048499532274605e-05,0.016933318,0.0002490592292790634,0.0012698412698412698
ui_cooc_last_basket_max,37.774600982666016,1,1.934419746947477e-05,3.0102773781505783e-05,2.7962813748752956e-05,0.2718,2.869763791589316e-05,7.936507936507937e-05
item_global_is_stale_90d,0.0,0,0.0,0.0,0.0,0.0008,0.0,0.0
